farm_id,crop_type,crop_confidence
1,Bajra,low
2,Bajra,low
3,Groundnut,low
4,Bajra,low
5,Groundnut,low
6,Maize,low
7,Maize,low
8,Maize,low
9,Groundnut,low
10,Groundnut,low
11,Maize,low
12,Maize,low
13,Maize,low
14,Rice,high
15,Groundnut,low
16,Groundnut,low
17,Groundnut,low
18,Groundnut,low
19,Groundnut,low
20,Groundnut,low
21,Maize,low
22,Groundnut,low
23,Maize,low
24,Maize,low
25,Groundnut,low
26,Maize,low
27,Maize,low
28,Maize,low
29,Bajra,low
30,Rice,high
31,Rice,high
32,Bajra,low
33,Groundnut,low
34,Groundnut,low
35,Bajra,low
36,Bajra,low
37,Groundnut,low
38,Maize,low
39,Groundnut,low
40,Maize,low
41,Rice,high
42,Rice,high
43,Groundnut,low
44,Groundnut,low
45,Groundnut,low
46,Groundnut,low
47,Groundnut,low
48,Maize,low
49,Groundnut,low
50,Groundnut,low
51,Rice,high
52,Groundnut,low
53,Groundnut,low
54,Rice,high
55,Rice,high
56,Maize,low
57,Groundnut,low
58,Rice,high
59,Groundnut,low
60,Maize,low
61,Groundnut,low
62,Maize,low
63,Maize,low
64,Groundnut,low
65,Maize,low
66,Maize,low
67,Rice,high
68,Maize,low
69,Rice,high
70,Rice,high
71,Maize,low
72,Maize,low
73,Bajra,low
74,Rice,high
75,Maize,low
76,Groundnut,low
77,Groundnut,low
78,Maize,low
79,Maize,low
80,Bajra,low
81,Rice,high
82,Maize,low
83,Groundnut,low
84,Groundnut,low
85,Rice,high
86,Rice,high
87,Maize,low
88,Maize,low
89,Maize,low
90,Groundnut,low
91,Groundnut,low
92,Groundnut,low
93,Cotton,high
94,Cotton,high
95,Rice,high
96,Maize,low
97,Maize,low
98,Groundnut,low
99,Groundnut,low
100,Rice,high
101,Groundnut,low
102,Groundnut,low
103,Rice,high
104,Groundnut,low
105,Rice,high
106,Rice,high
107,Maize,low
108,Rice,high
109,Groundnut,low
110,Rice,high
111,Cotton,high
112,Rice,high
113,Cotton,high
114,Groundnut,low
115,Groundnut,low
116,Groundnut,low
117,Rice,high
118,Maize,low
119,Rice,high
120,Rice,high
121,Rice,high
122,Groundnut,low
123,Cotton,high
124,Bajra,low
125,Maize,low
126,Cotton,high
127,Groundnut,low
128,Maize,low
129,Maize,low
130,Groundnut,low
131,Maize,low
132,Groundnut,low
133,Maize,low
134,Cotton,high
135,Maize,low
136,Groundnut,low
137,Rice,high
138,Rice,high
139,Cotton,high
140,Cotton,high
141,Maize,low
142,Maize,low
143,Maize,low
144,Groundnut,low
145,Maize,low
146,Groundnut,low
147,Rice,high
148,Cotton,high
149,Maize,low
150,Groundnut,low
151,Rice,high
152,Groundnut,low
153,Groundnut,low
154,Rice,high
155,Maize,low
156,Maize,low
157,Groundnut,low
158,Maize,low
159,Maize,low
160,Groundnut,low
161,Maize,low
162,Groundnut,low
163,Rice,high
164,Groundnut,low
165,Maize,low
166,Maize,low
167,Cotton,high
168,Maize,low
169,Rice,high
170,Cotton,high
171,Groundnut,low
172,Cotton,low
173,Rice,high
174,Rice,high
175,Maize,low
176,Groundnut,low
177,Maize,low
178,Groundnut,low
179,Maize,low
180,Bajra,low
181,Cotton,high
182,Cotton,high
183,Groundnut,low
184,Groundnut,low
