farm_id,vv_2025-06-12,vh_2025-06-12,vv_2025-06-24,vh_2025-06-24,vv_2025-07-06,vh_2025-07-06,vv_2025-07-18,vh_2025-07-18,vv_2025-07-30,vh_2025-07-30,vv_2025-08-23,vh_2025-08-23,vv_2025-09-04,vh_2025-09-04,vv_2025-09-16,vh_2025-09-16,vv_2025-09-28,vh_2025-09-28,vv_2025-10-10,vh_2025-10-10,vv_2025-10-22,vh_2025-10-22,vv_2025-11-03,vh_2025-11-03,vv_2025-11-15,vh_2025-11-15,vv_2025-11-27,vh_2025-11-27,vv_2025-12-09,vh_2025-12-09,vv_2025-12-21,vh_2025-12-21
1,-10.072206633481324,-17.96143967980405,-5.766079011471705,-15.681685347574327,-6.538182945346903,-12.319668703946217,-7.263656093917122,-13.646224575740975,-3.5513214755450466,-13.257846581273165,-7.763895731220815,-16.53143159312132,-9.416161249345151,-14.803125255196433,-9.140170884320549,-17.20036513580328,-6.504460339278857,-19.22971194886144,-5.581913439660542,-18.496379193870695,-8.837590597361931,-17.983814202958857,-5.666425417585873,-13.428043720804636,-9.551164886665832,-15.787137265282986,-5.051791441933361,-14.932869351793228,-7.074111830216616,-14.878292449410399,-7.280333827106063,-13.918441869197768
2,-9.675761924285199,-15.728340412672054,-7.013989485991928,-16.99934482943978,-7.765668979162889,-16.090238047218797,-9.905391861990843,-15.741850084349892,-7.165249568213477,-15.315748146490588,-8.250476877412643,-14.526210556033465,-9.530354123967093,-14.826849746133764,-9.271630753613309,-15.599641527670121,-9.346978303011664,-17.985059754295307,-7.983486096088557,-16.124650464065592,-10.247602307148863,-18.705268407790225,-4.440081137857524,-14.45840517912856,-8.08548175441999,-15.788772439972728,-7.727021238559663,-15.300245015059302,-10.559699339956218,-17.1359158163757,-5.4737321528899425,-13.98799406660845
3,-7.577589361313589,-17.845278894339497,-8.282754963624768,-16.735358447470695,-9.684617705111906,-17.372430282056325,-8.306986349483887,-16.542751557500203,-4.379016393046587,-11.582916209315556,-7.562664196354259,-17.30014110919922,-8.362083571794274,-15.7155864830039,-9.876288875873865,-16.600897970858966,-9.229337414536039,-16.7431414493737,-6.407968288390973,-15.691359980745078,-6.793118223738887,-15.872901417224686,-5.047720097218372,-12.57882219233556,-5.727171036024318,-13.177974640280572,-4.080948652526694,-12.188944047576378,-4.777828484267593,-13.19005090895637,-5.920489923229843,-12.59296618754858
4,-9.085072307590904,-17.395806112981077,-8.315990484682889,-14.440637656438366,-7.715122081826427,-14.663982699438716,-7.838918505967004,-14.172151283545766,-6.271330223123725,-14.666619477896726,-7.617222569269845,-16.27638769623005,-9.557893419388815,-15.65562458515968,-9.865833949468096,-16.532458115648744,-10.614210617023083,-16.861682236011227,-10.111599775632019,-15.235606107145369,-10.517532924784593,-16.119340797030482,-7.044993922501251,-14.055098347877205,-7.901687269396306,-15.892037430784928,-7.702562955867084,-13.212717865339469,-7.651555348486056,-14.717060588300361,-6.027475518570422,-15.305436776660281
5,-7.926732635654352,-13.774207562096594,-8.877922739097961,-14.605888720860133,-6.256259356794769,-14.617760772390799,-9.60208580339747,-12.062976066521262,-5.116827313141928,-12.457403371324299,-7.087232816456645,-13.720248444836404,-8.723217100551006,-12.745971904258289,-8.335863979068343,-14.085789447706032,-8.89734611127938,-13.154103985901688,-6.3324808222094155,-14.086617617668416,-6.548084218666556,-14.194871662103505,-6.3359296352834304,-11.981400749448383,-5.356375433427055,-13.624364463365675,-5.633629503137529,-13.532406296673853,-6.679501937248701,-12.51070655558525,-6.997289287005163,-13.61920880936194
6,-8.35795990075434,-16.646541158761494,-7.162028074830347,-14.54866150932298,-8.181895379531634,-13.942983620821439,-7.840464996906881,-11.911699559189382,-4.746535680245749,-12.287851567444294,-4.79986140008452,-14.109073078489025,-6.749657298439167,-13.617063816336287,-9.352649652934135,-15.275137364970703,-9.710793486592346,-15.940595408024691,-8.338888135343844,-15.521926685183505,-6.572717835710785,-15.002408418250354,-6.969091871455188,-15.252080279507375,-8.324150576028174,-15.236705341997727,-7.322960592996205,-14.0797333745715,-5.971839897013606,-11.748790477449699,-6.999683019982003,-14.170554115134058
7,-8.032243658617697,-17.890322843017,-7.1059650812471284,-14.950044475190552,-7.669326381170625,-14.727627367878949,-7.2259779557070605,-12.50036378961095,-6.240538294307746,-13.121547966502874,-6.444674459907213,-16.556998432800743,-9.418595978969508,-18.025240985241386,-10.149702289820572,-16.5517357212141,-11.235881323663559,-17.474952697626684,-9.248379666522501,-16.425870065664093,-8.709240735580904,-18.121904900310696,-7.243461242240147,-13.940796602301395,-8.983748601773163,-15.452598334041346,-6.9844388248612415,-16.359717271581214,-7.2400081964575875,-13.790576162891863,-5.201160717129735,-12.600066022364585
8,-9.430437811770128,-15.822010282175611,-7.008208143508309,-13.70695732561527,-7.124314860678118,-12.702086629347955,-7.607791484321811,-13.50149999162754,-5.351900451016714,-13.058059020902329,-3.3663313728676787,-15.976456663530554,-6.105842652950246,-15.441549875132132,-8.455030593951063,-16.254792330334798,-8.247245991474212,-16.641148075027846,-8.193242761374597,-15.036535769436924,-8.116058624107778,-15.271659692881101,-4.87896068198827,-13.294954573098558,-5.349177285375681,-13.567281341415514,-5.9866326500208125,-12.552915350249243,-5.579673326068165,-12.096784477008544,-5.052456002604694,-12.320940778560574
9,-11.06832129468909,-15.867547323989031,-8.572929193123331,-13.383321283312856,-9.290974598369736,-13.411220100787302,-8.6906930189982,-13.116024990382876,-8.362498409565346,-12.694015258175346,-6.448005793739821,-12.7639336395758,-7.468775718715187,-11.70041419363846,-6.4502759962592595,-13.582432758030151,-8.544522732723369,-12.355549506196882,-8.305588031008705,-12.740406566579015,-7.548599990002737,-14.189144834954535,-8.297097600738166,-13.195636477379406,-7.588939451699953,-13.369066268033016,-8.295500141181822,-15.401577804514448,-7.332694929837336,-14.065667380151712,-11.890955274025249,-17.333997312534336
10,-11.123313550844768,-16.83330095398373,-7.040261730076601,-12.156303879734036,-7.422783643767561,-11.594293785711914,-7.5929548047064666,-11.79660668414635,-5.583692762720512,-14.817353939216012,-5.856121662852155,-14.565819946771343,-5.881571501413864,-13.238027776174302,-8.674836612854378,-16.035154237967856,-10.321497591412061,-17.099797715052112,-7.264952333293991,-16.661400515980084,-8.820192148501324,-14.981183012749659,-4.901829348717554,-13.25488686930074,-7.307162814206775,-14.56927911289605,-7.479870672869893,-14.19429490709418,-6.16722655439582,-14.62848495788106,-6.765260561003753,-13.505042456490617
