zone,n_farms,area_ha,yield_t_ha_area_wt,production_t,dominant_crop,cleared_fraction_median,measured_share
Z73,20,15.5742,1.4968369046243148,23.312099999999997,Maize,1.0,1.0
Z62,7,5.6513,1.5288702617096952,8.6401,Rice,0.7995,1.0
Z72,16,9.2954,1.5601822568151986,14.502199999999998,Rice,1.0,0.9375
Z56,25,11.277000000000001,1.5724871543850314,17.732999999999997,Rice,1.0,1.0
Z63,18,11.4524,1.5911913328210678,18.223100000000002,Bajra,1.0,1.0
Z71,9,3.6155999999999997,1.6604336818232104,6.0036000000000005,Maize,0.3285,0.7777777777777778
Z21,18,17.001,1.6878234539144756,28.6945,Cotton,0.06935,1.0
Z52,7,4.7367,1.7144325859775795,8.1208,Maize,0.0,1.0
Z41,22,13.8988,1.7609210759202232,24.474499999999995,Maize,0.937,1.0
Z44,26,12.8283,1.7939290747799788,23.012900000000002,Rice,0.634,1.0
Z74,13,6.990900000000001,1.7939418029152183,12.5412,Groundnut,0.54895,1.0
Z64,23,20.628500000000006,1.8132627209928005,37.404999999999994,Maize,0.82235,1.0
Z31,14,13.749600000000001,1.8195356446732995,25.017899999999997,Maize,0.8469,1.0
Z51,17,10.5017,1.8201063180247008,19.114199999999997,Bajra,0.6376999999999999,1.0
Z53,5,3.9101,1.8632622081276693,7.285599999999999,Maize,1.0,1.0
Z54,16,10.3931,1.9209766835689064,19.9649,Groundnut,0.5541,1.0
Z42,19,16.5854,1.9222819154195858,31.8819,Maize,0.7553000000000001,1.0
Z30,10,8.0397,1.9278199883080216,15.499099999999999,Maize,0.95,1.0
Z46,25,8.3478,1.9294208629818637,16.1065,Groundnut,0.283,1.0
Z43,24,13.589799999999999,2.0009518116528575,27.1924,Groundnut,0.6279,1.0
Z04,62,11.1682,2.01285491932451,22.4799,Maize,0.7525,0.6290322580645161
Z50,15,9.4529,2.0142457542129932,19.040399999999998,Groundnut,0.0,0.9333333333333333
Z23,27,9.479200000000002,2.020972049329057,19.157200000000003,Maize,0.7029,1.0
Z33,28,15.415799999999999,2.0400633499396723,31.44910000000001,Maize,0.5605,1.0
Z32,23,19.361199999999997,2.0626073373551224,39.93449999999999,Groundnut,0.5762,1.0
Z55,14,9.1086,2.0790492095382387,18.9373,Groundnut,0.0791,1.0
Z45,38,12.9085,2.095055140411357,27.043899999999997,Maize,0.7327,1.0
Z34,37,7.235,2.1177254374568073,15.3218,Groundnut,0.7947,1.0
Z66,9,0.5502,2.1553400581606685,1.1858,Maize,0.5571,0.4444444444444444
Z12,30,13.250200000000001,2.1753341111832265,28.823399999999992,Maize,0.98475,1.0
Z22,16,11.705200000000001,2.1906603278884598,25.6421,Groundnut,0.4424,1.0
Z13,36,8.938100000000002,2.2372069835871153,19.996399999999998,Groundnut,0.7053499999999999,1.0
Z61,21,15.195300000000003,2.266546026073851,34.440900000000006,Groundnut,0.4325,0.9523809523809523
Z03,33,7.357799999999999,2.2758693305064015,16.745199999999997,Groundnut,0.6133,1.0
Z14,33,5.948200000000001,2.2952600433744657,13.652800000000001,Maize,0.7427999999999999,1.0
Z01,9,6.9588,2.3177895355521065,16.128999999999998,Groundnut,0.7499,1.0
Z35,16,7.809900000000001,2.333476666794709,18.2242,Groundnut,0.5246500000000001,1.0
Z11,10,7.0765,2.3397657387126407,16.5572,Maize,0.794,1.0
Z60,17,12.302399999999999,2.3648683858434127,29.0935,Groundnut,0.0,1.0
Z24,10,2.0688,2.421930118909513,5.0105,Groundnut,0.69685,1.0
Z25,32,4.8706000000000005,2.555633260789225,12.4474,Groundnut,0.31705,1.0
Z02,18,8.256599999999999,2.62001757260858,21.6323,Groundnut,0.7909,1.0
Z05,8,1.3839000000000001,2.7041322422140324,3.7423,Maize,0.8188,0.0
Z36,8,1.7096999999999998,2.713576890682576,4.6393,Groundnut,0.0,1.0
Z10,5,2.9593999999999996,2.7158002939785097,8.0371,Maize,0.9519,1.0
Z15,57,7.3199000000000005,2.797716781650022,20.4791,Groundnut,0.575,0.5087719298245614
